RMS_mean,RMS_max,Variance_mean,Kurtosis_mean,PeakFreq_mean,PeakMag_mean,PeakMag_max,File,DegradationScore,HealthScore,Anomaly,AnomalyScore
0.0745926292996226,0.0967196620009505,0.0057804993382084,0.8053694260799906,1008.0,242.4307293661299,365.7272167987698,2004.03.04.09.27.46,0.11965035981356933,88.03,1,0.6407368659150455
0.0725804922902141,0.0920078050039268,0.0054396240507864,0.6437718823513786,1009.0,278.6002088865821,428.0336861588377,2004.03.04.09.32.46,0.11391608626593337,88.61,1,0.5671732000527248
0.073783610497125,0.0934302416704235,0.0056604952181017,0.6297807022154461,816.0,298.35274901006926,435.28173923956285,2004.03.04.09.42.46,0.11452454517966548,88.55,1,0.5944494979771238
0.0743416174955125,0.092803177667342,0.0057183839591974,0.5506577499559496,816.25,246.48734544019652,361.2793154370876,2004.03.04.09.52.46,0.10346904037978671,89.65,1,0.6081720910213718
0.0733444094953065,0.0928293658392072,0.0055803354547631,0.4369227736242006,1010.0,261.65733729969674,394.8192614818852,2004.03.04.10.02.46,0.0997787879220027,90.02,1,0.5456620208227134
0.0740136635487265,0.0932990607996337,0.0056831063681268,0.5858276746718254,1010.0,317.0611204564452,484.2855387031516,2004.03.04.10.12.46,0.11629465634930924,88.37,1,0.5531946041941742
0.0751051982378196,0.09522524951152,0.0058494363979595,0.6730976252687493,1010.0,281.0040920404709,422.6133682244759,2004.03.04.10.22.46,0.11672067332518223,88.33,1,0.6074608550950197
0.0730289179889219,0.092755501489888,0.0055349500721007,0.5696339790498489,1010.0,366.6675816944301,564.2570773218584,2004.03.04.10.32.46,0.12196752635943431,87.8,1,0.5456331122993651
0.0750901746441648,0.0949114253507415,0.0058426503324729,0.6303869158186921,1010.0,379.03262178467946,575.8300692885309,2004.03.04.10.42.46,0.12754213077935217,87.25,1,0.5836646178333355
0.0740569730043117,0.0941742709584039,0.0056867935075879,0.5519358819916089,816.75,354.9166572102793,539.1091998535809,2004.03.04.10.52.46,0.11944907498654628,88.06,1,0.5707753944893699
0.074374830418022,0.0954646091573338,0.0057525806711214,0.5346010544090318,1010.0,270.67058452064896,415.672042090403,2004.03.04.11.02.46,0.10822781360946437,89.18,1,0.5831107724080308
0.0744020691248169,0.093855771322529,0.0057314803104126,0.5225138879839062,1009.0,295.54066706807095,448.5810690933262,2004.03.04.11.12.46,0.10985027506143576,89.01,1,0.5584195405132641
0.0750429360357882,0.094939855550106,0.0058346036772412,0.4475696525408983,1010.0,342.9815169843133,525.9341539813299,2004.03.04.11.22.46,0.11284803652183646,88.72,1,0.5390015622136767
0.0734138657516631,0.093085880258585,0.0055968758161759,0.6097049368220168,1009.0,332.110231841412,515.667120809594,2004.03.04.11.32.46,0.1201936243231582,87.98,1,0.5468583462255979
0.0751537724443809,0.0950163891598937,0.005864668707416,0.5449066030383749,1010.0,352.79795325360203,542.1951631979695,2004.03.04.11.42.46,0.11983868102562137,88.02,1,0.5652582764696084
0.0759113016049457,0.0952743860782011,0.0059677513632947,0.6534823038198198,816.75,308.4229719793568,447.9215713554216,2004.03.04.11.52.46,0.11799169630473522,88.2,1,0.6160764070640382
0.0758525957025277,0.095037142975375,0.0059564698075753,0.4413805533203052,1009.0,316.3036494875586,489.5624381778045,2004.03.04.12.02.46,0.10952471562294233,89.05,1,0.5542830985776441
0.0741420929295854,0.092714109516921,0.0056877910962355,0.4337017346151552,1009.0,302.6353962629621,458.7844528871429,2004.03.04.12.12.46,0.10527698746012777,89.47,1,0.5247605483252804
0.0754846926054779,0.0947785103049472,0.005904929846239,0.6391550277991495,816.0,291.92612435002667,392.81517173665753,2004.03.04.12.22.46,0.11213016865082523,88.79,1,0.6161626743860447
0.0764583502557874,0.0955142416675551,0.0060515774114674,0.6132455047284009,816.0,246.59101005045423,369.79807050758734,2004.03.04.12.32.46,0.10909952058393227,89.09,1,0.6481788880486352
0.0766438764933597,0.0967888427357461,0.0061039587256401,0.8399935969767619,1009.0,380.3130158839663,576.5635311861562,2004.03.04.12.42.46,0.14044036735075582,85.96,1,0.6192758934752491
0.0776768527991644,0.0964717777707553,0.0062408667853659,0.6836070968611027,816.0,275.312594579862,410.04445499127576,2004.03.04.12.52.46,0.1171600619349443,88.28,1,0.6494593208482204
0.0774058625142089,0.0971319744419126,0.0062084037728554,0.6371549549159244,816.0,328.9138154907471,447.0534591496572,2004.03.04.13.02.46,0.11793148441225142,88.21,1,0.6244335696931512
0.0757903804185106,0.0946878003811242,0.0059467153789645,0.554703622438268,816.75,250.6379427205503,354.02161886508634,2004.03.04.13.12.46,0.10399722294985206,89.6,1,0.6284848235474289
0.0773275449624998,0.0967004243543558,0.0061985446559238,1.106420107447432,1009.0,321.86410614544707,480.0341927329456,2004.03.04.13.22.46,0.14720264425393934,85.28,1,0.6299835853834815
